,ID,Brand,Harga,Model,Varian,Tahun,Transmisi,Tipe bahan bakar,Jarak tempuh,Warna,Tipe body,Kapasitas mesin,Sistem Penggerak,Tipe Penjual,Nama Bursa Mobil,URL,Fitur tambahan,Kadaluwarsa Pajak
871,531278432,Hyundai,247000000.0,Santa Fe,Petrol,2013,Automatic Triptonic,Bensin,40.000-45.000,Hitam,SUV,>2.000 - 3.000 cc,Front Wheel Drive (FWD),Individu,,https://www.olx.co.id/iklan/santa-fe-bensin-2013-akhir-km-46-xxx-IDzXbMY.html?ad_type=HL#793dc4ca52;promoted,,"30, Nov 2019"
872,536865281,Toyota,95000000.0,Avanza,G,2007,Manual,Bensin,185.000-190.000,Hitam,Minibus,≤1.000 - 1.500 cc,4X2,Individu,,https://www.olx.co.id/iklan/toyota-avanza-2007-barang-okee-IDAkDbr.html?ad_type=OR#793dc4ca52,"Bluetooth Audio, Jok kulit","29, Jun 2020"
873,536865208,Daihatsu,85000000.0,Ayla,X,2014,Automatic,Bensin,55.000-60.000,Putih,Compact & City Car,<1.000 cc,,Diler,,https://www.olx.co.id/iklan/mobil-bergaransi-dp-angsuran-murah-terjangkau-ayla-x-matic-2014-IDAkDag.html?ad_type=OR#793dc4ca52,,
874,534902457,Honda,175000000.0,CR-V,2.0 i-VTEC,2012,Manual,Bensin,95.000-100.000,Silver,SUV,>1.500 - 2.000 cc,Front Wheel Drive (FWD),,,https://www.olx.co.id/iklan/crv-2-0-mt-2012-face-life-istw-IDAcoyZ.html?ad_type=OR#793dc4ca52,"Sensor Parkir, Airbag, Electric Window, Jok kulit, Bluetooth Audio","25, Oct 2019"
875,536865124,Honda,55000000.0,Ferio,,1996,Manual,Bensin,100.000-105.000,Silver,Sedan,>1.500 - 2.000 cc,Front Wheel Drive (FWD),,,https://www.olx.co.id/iklan/honda-civic-ferio-1996-IDAkD8U.html?ad_type=OR#793dc4ca52,,
876,536865081,Volkswagen,68000000.0,Safari,1.6 L,2019,Manual,Bensin,45.000-50.000,Hijau,Jeep,>1.500 - 2.000 cc,,Individu,,https://www.olx.co.id/iklan/vw-safari-mexico-tahun-76-info-lengkap-lihat-deskripsi-IDAkD8d.html?ad_type=OR#793dc4ca52,,
877,533763196,Toyota,205000000.0,Rush,TRD Sportivo Ultimo,2017,Manual,Bensin,15.000-20.000,Hitam,Jeep,≤1.000 - 1.500 cc,4X2,Individu,,https://www.olx.co.id/iklan/rush-s-trd-ultimo-2017-mt-km-17-ribu-ors-cat-100-tgn-1-pemake-IDA7CbO.html?ad_type=OR#793dc4ca52,"Sensor Parkir, Airbag, Jok kulit, GPS, Electric Window, Bluetooth Audio","14, Jun 2020"
878,536865054,Suzuki,145000000.0,Ertiga,GX,2014,Automatic,Bensin,70.000-75.000,Silver,MPV,≤1.000 - 1.500 cc,Front Wheel Drive (FWD),Individu,,https://www.olx.co.id/iklan/ertiga-gx-matic-2014-IDAkD7M.html?ad_type=OR#793dc4ca52,"Sensor Parkir, Airbag, Kamera Belakang, Bluetooth Audio, Electric Window","14, May 2020"
879,536865066,Toyota,142000000.0,Innova,E,2013,Manual,Bensin,75.000-80.000,Abu-abu,MPV,>1.500 - 2.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/kijang-inova-e-manual-2013-istimewa-IDAkD7Y.html?ad_type=OR#793dc4ca52,"Sensor Parkir, Airbag, Jok kulit, Electric Window, Kamera Belakang, Bluetooth Audio","19, Jun 2020"
880,536865019,Ford,155000000.0,Everest,XLT,2006,Manual,Diesel,100.000-105.000,Hitam,Offroad,>2.000 - 3.000 cc,4X2,Individu,,https://www.olx.co.id/iklan/ford-everest-2006-limited-edition-4x2-manual-barang-langka-biosolar-IDAkD7d.html?ad_type=OR#793dc4ca52,"Sensor Parkir, Airbag, Electric Window, Jok kulit, GPS, Kamera Belakang, Bluetooth Audio","20, Jan 2020"
